"Date","Ptot","Evap","Discharge","Temp"
1969-01-01,74.7011497822741,11.0867370539214,58.5089084745763,5.29078096774194
1969-02-01,45.6636203675798,8.8607248933293,48.7354576271186,0.641136071428571
1969-03-01,57.185148377608,23.9498797388549,46.5622779661017,3.56577241935484
1969-04-01,39.4156554783396,47.6192263617434,39.3573966101695,7.35562716666667
1969-05-01,112.819551043432,77.6856672697965,30.8433355932203,10.7793970967742
1969-06-01,33.5672447804199,95.3836228536428,25.2024406779661,13.42336
1969-07-01,43.8891220348931,110.657002113356,22.0539661016949,16.51325
1969-08-01,51.1164078407529,91.3659727572423,17.5875254237288,15.8450675806452
1969-09-01,32.9269857793118,57.8256594770476,12.7549830508475,13.3447343333333
1969-10-01,8.68220936417038,35.9334545939247,10.4441491525424,12.1733690322581
1969-11-01,97.0757791950846,12.1573689996885,9.62466711864407,4.86044983333333
1969-12-01,85.6200592747761,6.73682868412284,9.79453830508475,2.64646919354839
1970-01-01,91.4542475196757,9.30817958710818,15.0599593220339,3.63667016129032
1970-02-01,64.2901880636093,11.6487853440167,28.5383593220339,2.50038535714286
1970-03-01,56.7087986388356,23.1804962627438,39.6327050847458,3.10641967741935
1970-04-01,55.6591336929681,43.3165794534568,34.4516338983051,6.11860316666667
1970-05-01,35.4827563210681,84.7341071076381,27.3697627118644,12.2279580645161
1970-06-01,31.2177887145867,106.821841521241,19.2387905084746,15.6458293333333
1970-07-01,70.1832007223106,102.000900389047,17.6695322033898,14.813074516129
1970-08-01,61.4145489448714,89.5160486799766,12.4005966101695,15.4388587096774
1970-09-01,68.6327740544203,59.657278144125,9.46680406779661,14.0968546666667
1970-10-01,21.0599341605235,31.5815449066108,7.35600813559322,10.1512020967742
1970-11-01,173.37964869102,15.2241190189625,10.0809762711864,7.74562183333333
1970-12-01,32.7817665090803,7.35909603775939,15.0828040677966,3.28440951612903
1971-01-01,131.621793403889,9.76618984459981,26.8513627118644,4.09198338709677
1971-02-01,25.9622128121406,13.4897470958911,46.5564203389831,3.70859428571429
1971-03-01,65.3084153834465,26.6776285462206,39.8611525423729,4.33931709677419
1971-04-01,77.0070784339993,46.8131921427136,34.3579118644068,7.13518466666667
1971-05-01,51.3416796136247,78.678432414234,30.9487728813559,10.9935662903226
